------------------------------------------------------
| Le mot                  | Nombre d'occurences      | 
------------------------------------------------------
| de                      |   50                     |
| le                      |   32                     |
| à                       |   28                     |
| la                      |   27                     |
| et                      |   21                     |
| en                      |   16                     |
| a                       |   15                     |
| que                     |   14                     |
| un                      |   13                     |
| pour                    |   13                     |
| des                     |   13                     |
| les                     |   12                     |
| du                      |   12                     |
| une                     |   11                     |
| est                     |   11                     |
| 000                     |   10                     |
| réfugiés                |   8                      |
| qui                     |   8                      |
| par                     |   8                      |
| syriens                 |   7                      |
| son                     |   7                      |
| ses                     |   7                      |
| se                      |   7                      |
| plus                    |   7                      |
| on                      |   7                      |
| neymar                  |   7                      |
| il                      |   7                      |
| au                      |   7                      |
| ce                      |   6                      |
| canada                  |   6                      |
------------------------------------------------------
